# id	nombre	grupo	unidad	aliases
o3	Ozono	contaminante_criterio	ppb	O3|Ozono|Columna O3|TROPOMI O3
pm10	Particulas PM10	contaminante_criterio	ug/m3	PM10|Particulas menores a 10 micrometros
pm25	Particulas PM2.5	contaminante_criterio	ug/m3	PM2.5|PM25|Particulas menores a 2.5 micrometros|PM2_5
pmco	Particulas gruesas PM10-2.5	contaminante_criterio	ug/m3	PMCO|PM10-2.5|Fraccion gruesa
co	Monoxido de carbono	contaminante_criterio	ppm	CO|Monoxido de carbono|Columna CO|TROPOMI CO
no	Oxido nitrico	gas_traza	ppb	NO|Oxido nitrico
no2	Dioxido de nitrogeno	contaminante_criterio	ppb	NO2|Dioxido de nitrogeno|Columna NO2|TROPOMI NO2
nox	Oxidos de nitrogeno	gas_traza	ppb	NOX|NOx|Oxidos de nitrogeno
so2	Dioxido de azufre	contaminante_criterio	ppb	SO2|Dioxido de azufre|Columna SO2|TROPOMI SO2
hcho	Formaldehido	gas_traza_satelital	mol/m2	HCHO|Formaldehido|Formaldehyde|TROPOMI HCHO
ch4	Metano	gas_efecto_invernadero_satelital	ppb	CH4|Metano|Methane|TROPOMI CH4
co2	Dioxido de carbono	gas_efecto_invernadero	ppm	CO2|Dioxido de carbono|Carbon dioxide
nh3	Amoniaco	gas_traza	ppb	NH3|Amoniaco|Ammonia
h2s	Sulfuro de hidrogeno	gas_traza	ppb	H2S|Sulfuro de hidrogeno
ben	Benceno	cov	ppb	BENCENO|BEN|Benzene
tol	Tolueno	cov	ppb	TOLUENO|TOL|Toluene
xyl	Xilenos	cov	ppb	XYL|Xileno|Xilenos|Xylene
bc	Carbono negro	aerosoles	ug/m3	BC|Black carbon|Carbono negro
ec	Carbono elemental	aerosoles	ug/m3	EC|Elemental carbon|Carbono elemental
oc	Carbono organico	aerosoles	ug/m3	OC|Organic carbon|Carbono organico
so4	Sulfato en aerosol	aerosoles	ug/m3	SO4|Sulfate aerosol|Sulfato
no3a	Nitrato en aerosol	aerosoles	ug/m3	NO3 aerosol|Nitrate aerosol|Nitrato aerosol
aod	Profundidad optica de aerosoles	aerosol_satelital	1	AOD|MAIAC AOD|Aerosol Optical Depth|Optical depth
uvai	Indice UV de aerosoles	aerosol_satelital	1	UVAI|Aerosol Index|Indice de aerosoles|TROPOMI Aerosol Index
pb	Plomo particulado	metales	ng/m3	Pb|Plomo|Lead
cd	Cadmio particulado	metales	ng/m3	Cd|Cadmio|Cadmium
as	Arsenico particulado	metales	ng/m3	As|Arsenico|Arsenic
ni	Niquel particulado	metales	ng/m3	Ni|Niquel|Nickel
hg	Mercurio	metales	ng/m3	Hg|Mercurio|Mercury
cr	Cromo particulado	metales	ng/m3	Cr|Cromo|Chromium
tmp	Temperatura ambiente	meteorologico	C	TMP|Temperatura|Temperatura ambiente|T2M|2m temperature
tmax	Temperatura maxima	meteorologico	C	TMAX|Temperatura maxima|T2M_MAX
tmin	Temperatura minima	meteorologico	C	TMIN|Temperatura minima|T2M_MIN
rh	Humedad relativa	meteorologico	%	RH|Humedad relativa|Relative humidity|RH2M
pa	Presion atmosferica	meteorologico	hPa	PA|PBa|Presion atmosferica|Surface pressure|PS
pp	Precipitacion	meteorologico	mm	PP|Precipitacion|Rainfall|Total precipitation|PRECTOTCORR
pblh	Altura de capa limite	meteorologico	m	PBLH|Boundary layer height|Capa limite|Planetary boundary layer height
wsp	Velocidad del viento	meteorologico	m/s	WSP|Velocidad del viento|Wind speed|WS10M
wdr	Direccion del viento	meteorologico	grados	WDR|Direccion del viento|Direccion de viento|WD10M
u10	Componente zonal del viento	meteorologico	m/s	U10|10m u wind|Viento zonal
v10	Componente meridional del viento	meteorologico	m/s	V10|10m v wind|Viento meridional
gr	Radiacion global	radiacion_satelital	W/m2	GR|Radiacion global|ALLSKY_SFC_SW_DWN|Surface solar radiation
uv	Indice UV	radiacion_satelital	1	UV|Indice UV|UV index
uva	Radiacion UV-A	radiacion_satelital	W/m2	UVA|Radiacion UV-A
uvb	Radiacion UV-B	radiacion_satelital	W/m2	UVB|Radiacion UV-B
uvc	Radiacion UV-C	radiacion_satelital	W/m2	UVC|Radiacion UV-C
frp	Potencia radiativa del fuego	focos_calor_satelital	MW	FRP|Fire radiative power|Potencia radiativa del fuego
brightness	Temperatura de brillo satelital	focos_calor_satelital	K	Brightness|Bright_T31|Bright TI4|Bright TI5|Temperatura de brillo
fire_temperature	Temperatura subpixel de fuego	focos_calor_satelital	K	Fire temperature|Subpixel fire temperature
