# id	canonical	group	cie10_pipe	aliases_pipe
parotiditis_infecciosa	Parotiditis infecciosa	prevenibles_vacunacion		Parotiditis infecciosa
tos_ferina	Tos ferina	prevenibles_vacunacion	A37	Tos ferina|Tosferina|Tos ferina (*+)
varicela	Varicela	prevenibles_vacunacion		Varicela
absceso_hepatico_amebiano	Absceso hepático amebiano	digestivas		Absceso hepático amebiano
amebiasis_intestinal	Amebiasis intestinal	digestivas		Amebiasis intestinal
ascariasis	Ascariasis	digestivas		Ascariasis
enterobiasis	Enterobiasis	digestivas		Enterobiasis
fiebre_tifoidea	Fiebre tifoidea	digestivas		Fiebre tifoidea
giardiasis	Giardiasis	digestivas		Giardiasis
infecciones_intestinales_mal_definidas	Infecciones intestinales por otros organismos y las mal definidas	digestivas		Infecciones intestinales por otros organismos y las mal definidas|Infecciones intestinales
intoxicacion_alimentaria_bacteriana	Intoxicación alimentaria bacteriana	digestivas	A05	Intoxicación alimentaria bacteriana|Intoxicacion alimentaria bacteriana|por Intoxicación alimentaria mal bacteriana|Intoxicación alimentaria mal bacteriana
otras_helmintiasis	Otras helmintiasis	digestivas		Otras helmintiasis
otras_infecciones_intestinales_protozoarios	Otras infecciones intestinales debidas a protozoarios	digestivas		Otras infecciones intestinales debidas a protozoarios
otras_salmonelosis	Otras Salmonelosis	digestivas		Otras Salmonelosis
shigelosis	Shigelosis	digestivas		Shigelosis
faringitis_amigdalitis_estreptococicas	Faringitis y amigdalitis estreptocócicas	respiratorias		Faringitis y amigdalitis estreptocócicas|Faringitis y amigdalitis estreptococicas
otitis_media_aguda	Otitis media aguda	respiratorias		Otitis media aguda
tuberculosis_respiratoria	Tuberculosis respiratoria	respiratorias		Tuberculosis respiratoria
tumor_maligno_cuello_utero	Tumor maligno del cuello del útero	no_transmisibles	C53	Tumor maligno del cuello del utero|Tumor maligno del cuello del útero|Displasias y neoplasias|Neoplasias
candidiasis_urogenital	Candidiasis urogenital	transmision_sexual		Candidiasis urogenital
chancro_blando	Chancro blando	transmision_sexual		Chancro blando
herpes_genital	Herpes genital	transmision_sexual		Herpes genital
infeccion_asintomatica_vih	Infección asintomática por VIH	transmision_sexual		Infección asintomática por VIH|Infeccion asintomatica por VIH
infeccion_gonococica_genitourinaria	Infección gonocócica del tracto genitourinario	transmision_sexual		Infección gonocócica del tracto genitourinario|Infeccion gonococica
linfogranuloma_venereo_clamidias	Linfogranuloma venéreo por clamidias	transmision_sexual		Linfogranuloma venéreo por clamidias|Linfogranuloma venereo
sifilis_adquirida	Sífilis adquirida	transmision_sexual		Sífilis adquirida|Sifilis adquirida
sifilis_congenita	Sífilis congénita	transmision_sexual		Sífilis congénita|Sifilis congenita
sida	Síndrome de inmunodeficiencia adquirida	transmision_sexual		Síndrome de inmunodeficiencia adquirida|SIDA
tricomoniasis_urogenital	Tricomoniasis urogenital	transmision_sexual		Tricomoniasis urogenital
vulvovaginitis_aguda	Vulvovaginitis Aguda	transmision_sexual		Vulvovaginitis Aguda
dengue_signos_alarma	Dengue con Signos de Alarma	vectores		Dengue con Signos de Alarma|Dengue con Signos de
dengue_grave	Dengue grave	vectores	A91	Dengue grave
dengue_no_grave	Dengue no grave	vectores	A90	Dengue no grave
chikungunya	Enfermedad por Virus Chikungunya	vectores		Enfermedad por Virus Chikungunya|Chikungunya
fiebre_oeste_nilo	Fiebre del Oeste del Nilo	vectores		Fiebre del Oeste del Nilo
fiebre_manchada	Fiebre manchada	vectores		Fiebre manchada
zika	Infección por virus Zika	vectores		Infección por virus Zika|Zika
otras_rickettsiosis	Otras Rickettsiosis	vectores		Otras Rickettsiosis
paludismo_falciparum	Paludismo por plasmodium falciparum	vectores	B50	Paludismo por plasmodium falciparum
paludismo_vivax	Paludismo por plasmodium vivax	vectores	B51	Paludismo por plasmodium vivax
tifo_epidemico	Tifo epidémico	vectores		Tifo epidémico|Tifo epidemico
tifo_murino	Tifo murino	vectores		Tifo murino
brucelosis	Brucelosis	zoonosis		Brucelosis
cisticercosis	Cisticercosis	zoonosis		Cisticercosis
leptospirosis	Leptospirosis	zoonosis		Leptospirosis
rabia_humana	Rabia humana	zoonosis		Rabia humana
teniasis	Teniasis	zoonosis		Teniasis
triquinosis	Triquinosis	zoonosis		Triquinosis
erisipela	Erisipela	otras_enfermedades_exantematicas		Erisipela
escarlatina	Escarlatina	otras_enfermedades_exantematicas		Escarlatina
conjuntivitis	Conjuntivitis	otras_enfermedades_transmisibles		Conjuntivitis
conjuntivitis_epidemica_hemorragica	Conjuntivitis epidémica aguda hemorrágica	otras_enfermedades_transmisibles		Conjuntivitis epidémica aguda hemorrágica
escabiosis	Escabiosis	otras_enfermedades_transmisibles		Escabiosis
hepatitis_c	Hepatitis vírica C	otras_enfermedades_transmisibles	B17.1|B18.2	Hepatitis vírica C|Hepatitis virica C|Hepatitis C|Hepatitis viral C
otras_hepatitis_viricas	Hepatitis víricas, otras	otras_enfermedades_transmisibles	B17-B19	Hepatitis víricas, otras|Hepatitis viricas otras|Hepatitis viricas, otras|Otras hepatitis víricas|Otras hepatitis viricas|Hepatitis varias|Hepatitis viricas varias|Hepatitis víricas varias|Hepatitis viral varias|Hepatitis virales varias|Otras hepatitis|Hepatitis viricas no especificadas|Hepatitis viral no especificada
infeccion_asociada_atencion_salud	Infección asociada por atención a la salud	otras_enfermedades_transmisibles	Y95	Infección asociada por atención a la salud|Infeccion asociada por atencion a la salud|Infección asociada a la atención de la salud|Infeccion asociada a la atencion de la salud|Infección asociada por atención de la salud|Infeccion asociada por atencion de la salud|Infección asociada a la atención de la salud (S/C)|Infeccion asociada a la atencion de la salud S/C
mal_del_pinto	Mal del pinto	otras_enfermedades_transmisibles		Mal del pinto
meningoencefalitis_amebiana_primaria	Meningoencefalitis amebiana primaria	otras_enfermedades_transmisibles		Meningoencefalitis amebiana primaria
tripanosomiasis_americana	Tripanosomiasis Americana	otras_enfermedades_transmisibles		Tripanosomiasis Americana
enfermedad_febril_exantematica	Enfermedad febril exantemática	enfermedades_bajo_vigilancia_sindromatica		Enfermedad febril exantemática|Enfermedad febril
infeccion_vias_urinarias	Infección de vías urinarias	enfermedades_bajo_vigilancia_sindromatica		Infección de vías urinarias
