year	first_table_page	format_family	valid_columns	excluded_columns	visual_sample
2008	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2008_p2.png
2009	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2009_p2.png
2010	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2010_p2.png
2011	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2011_p2.png
2012	4	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2012_p4.png
2013	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2013_p2.png
2014	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2014_p2.png
2015	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2015_p2.png
2016	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2016_p2.png
2017	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2017_p2.png
2018	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2018_p2.png
2019	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2019_p2.png
2020	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2020_p2.png
2021	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2021_p2.png
2022	2	legacy_two_up_sem_acum	SEM total current|ACUM total current	ACUM DESDE LA SEM 1 POR INSTITUCION|TOTALES POR JURISDICCION	Build/visual_audit/edomex_formats/edomex_2022_p2.png
2023	3	modern_single_page_cie10	SEM total current|ACUM M current|ACUM F current|ACUM total previous	indice page 2 is not a data table	Build/visual_audit/edomex_formats/edomex_2023_p3.png
2024	4	modern_single_page_cie10	SEM total current|ACUM M current|ACUM F current|ACUM total previous	indice pages before first data table	Build/visual_audit/edomex_formats/edomex_2024_p4.png
2025	4	modern_single_page_cie10	SEM total current|ACUM M current|ACUM F current|ACUM total previous	indice pages before first data table	Build/visual_audit/edomex_formats/edomex_2025_p4.png
2026	4	modern_single_page_cie10	SEM total current|ACUM M current|ACUM F current|ACUM total previous	indice pages before first data table	Build/visual_audit/edomex_formats/edomex_2026_p4.png
