icon_stem	grafia_antigua	aliases	nota
Acatl	Acatl	Acatl|Acatlan|Acatlán|Acatlan de Osorio|Acatlán de Osorio|Acatlan de Juarez|Acatlán de Juárez|Acatepec|San Juan Acatitlan|San Juan Acatitlán|Acatitlan|Acatitlán	Caña/carrizo; equivalencias exactas para pueblos cuyo topónimo declarado deriva de acatl. No aplicar por subcadena.
apantli	Apantli	Apantli|Apantla|Apan	Canal/acequia; sólo topónimos completos declarados.
Atenco	Atenco	Atenco|San Salvador Atenco|San Mateo Atenco|San Lucas Atenco|San Sebastian Atenco|San Sebastián Atenco	Borde/orilla del agua; reutilización sólo por topónimo completo Atenco.
Atl	Atl	Atl|Atlautla|Atlauhtla|Atlatlahucan	Agua; no aplicar automáticamente a todo topónimo con a-/atl-.
Atotonilco	Atotonilco	Atotonilco|Atotonilco de Tula|Atotonilco el Grande|Atotonilco el Alto|Atotonilco de Tula Hidalgo|Atotonilco el Grande Hidalgo|Atotonilco el Alto Jalisco	Agua caliente; grafía antigua ATOTONILCO registrada. Glifo propio si existe.
calli	Calli	Calli	Glifo calendárico/toponímico sólo por declaración exacta.
cipactli	Cipactli	Cipactli	Glifo calendárico; no aplicar por heurística.
Coacalco	Coacalco	Coacalco|San Francisco Coacalco|Coacalco de Berriozabal|Coacalco de Berriozábal|Coacalco Berriozabal|Coacalco Berriozábal|Coacalco de Berriozábal México	Casa de la serpiente; grafía COACALCO. Debe usar glifo propio, no coatl ni calli aislados.
Coatepec	Coatepec	Coatepec|Coatepec Harinas|Coatepec de Harinas|San Lorenzo Coatepec	Serpiente-cerro; topónimo completo Coatepec. No sustituye todo compuesto con coatl.
coatl	Coatl	Coatl	Serpiente; no aplicar a Coatepec/Coacalco cuando existe glifo propio.
comitl	Comitl	Comitl|Comitlan|Comitlán|Comitan|Comitán|Comitan de Dominguez|Comitán de Domínguez|Santo Domingo de Comitan|Santo Domingo de Comitán|Santa Maria de Comitan|Santa María de Comitán	Olla/vasija; usar en Comitlan/Comitán si no existe glifo Contla específico.
Contla	Contlan	Contla|Contlan|Contlán|Contla de Juan Cuamatzi|San Bernardino Contla	Topónimo CONTLAN/Contla ligado al elemento comitl; glifo propio Contla si existe.
cozcacuauhtli	Cozcacuauhtli	Cozcacuauhtli	Glifo calendárico.
cuauhtli	Cuauhtli	Cuauhtli|Cuauhtla|Cuautla|Quauhtla|Quahutla|Cuautla Morelos	Reutilización explícita indicada: Cuautla/Cuauhtla usa cuauhtli; no extender a todo cuauh-.
cuetzpallin	Cuetzpallin	Cuetzpallin	Glifo calendárico.
