fuente	id_parameter	unit	registros	validos	estaciones
simat_meteorologicos_2014.csv	PBa	9	8760	8714	1
simat_meteorologicos_2014.csv	RH	6	157680	123379	18
simat_meteorologicos_2014.csv	TMP	5	157680	128085	18
simat_meteorologicos_2014.csv	WDR	4	157680	135097	18
simat_meteorologicos_2014.csv	WSP	3	157680	135097	18
simat_contaminantes_2014.csv	CO	15	231432	155830	27
simat_contaminantes_2014.csv	NO	1	248952	203590	29
simat_contaminantes_2014.csv	NO2	1	248952	203590	29
simat_contaminantes_2014.csv	NOX	1	248952	203590	29
simat_contaminantes_2014.csv	O3	1	248952	213942	29
simat_contaminantes_2014.csv	PM10	2	175200	144018	20
simat_contaminantes_2014.csv	PM2.5	2	117384	99284	14
simat_contaminantes_2014.csv	PMCO	2	78840	64740	9
simat_contaminantes_2014.csv	SO2	1	240192	204030	28
